Player,avg_drive_dist,accuracy_measure,experience_measure,prop_top10s
Hunter Mahan,296.9,3689.0688,2412,0.047619048
Hudson Swafford,302.8,3848.372,1971,0
Hideki Matsuyama,302.5,4243.2477,1876,0.157894737
Henrik Stenson,291,5317.5682,2352,0.333333333
Harris English,302.4,3801.3156,2436,0.064516129
Greg Chalmers,282.8,2414.311,2464,0.05
Grayson Murray,307.3,3794.56,1728,0.090909091
Graeme McDowell,293.2,3634.416,2613,0.05
Gary Woodland,313.2,4855.9674,2992,0.12
Francesco Molinari,301.6,4400.4963,2275,0.222222222
Fabian Gomez,291.1,3350.8844,3432,0
Ethan Tracy,299,3223.375,2016,0
Emiliano Grillo,294.7,4060.7312,2250,0.25
Dustin Johnson,314.5,3970.26,2346,0.611111111
Dominic Bozzelli,297,3305.2015,1690,0
Derek Fathauer,289.1,2937.3078,2268,0.035714286
Denny McCarthy,295.4,3814.614,1775,0.045454545
David Lingmerth,285.4,3321.0474,2542,0
David Hearn,285.1,2545.266,2574,0.095238095
Danny Lee,290.6,3764.012,2464,0.1
Daniel Summerhays,287.1,2734.5,1734,0.052631579
Daniel Berger,298,4093.44,2025,0.043478261
D.A. Points,280.8,2629.2356,2583,0.04
Corey Conners,303.3,3560.1948,2522,0.035714286
Conrad Shindler,291.3,3603.5383,1800,0
Cody Gribble,301,3508.3215,1917,0
Chris Stroud,289.8,3871.9504,2592,0.037037037
Chris Kirk,290.2,3162.588,3536,0.142857143
Chez Reavie,287.3,3441.5934,3204,0.111111111
Chesson Hadley,300.1,3148.0716,3069,0.24137931
Charley Hoffman,299.1,3628.071,3567,0
Charles Howell III,300.8,3451.0024,3900,0.148148148
Charl Schwartzel,299.5,3428.75,2210,0.15
Chad Campbell,286.5,2686.991,3306,0.071428571
Cameron Tringale,289.3,2289.6396,2211,0
Cameron Smith,298.8,3349.9076,1925,0.318181818
Cameron Percy,295.6,3598.0632,2464,0.125
C.T. Pan,292.6,3972.2601,2600,0.068965517
Byeong Hun An,308.6,3820.6476,2296,0.173913043
Bud Cauley,295.4,3223.5381,1375,0.117647059
Bubba Watson,313.6,4173.6549,3198,0.272727273
Bryson DeChambeau,306.4,4089.5517,2040,0.375
Brooks Koepka,313.4,4197.336,1568,0.4
Bronson Burgoon,302.8,4259.6253,2139,0.083333333
Brice Garnett,296.7,3272.227,3325,0.068965517
Brian Stuard,278.4,2094.2861,3605,0.09375
Brian Harman,292.6,3555.602,2790,0.333333333
Brian Gay,282.8,2658.9044,4554,0.206896552
Brett Stegmaier,295.4,3090.6372,2345,0
Brendan Steele,311.4,4075.4791,2450,0.142857143
Brandt Snedeker,293.5,3057.0975,2960,0.166666667
Brandon Harkins,303.1,3400.2674,3232,0.1
Branden Grace,299.1,4000.5264,2010,0.111111111
Blayne Barber,294.7,3470.1922,1932,0
Billy Hurley III,284,2363.676,2520,0
Billy Horschel,296.1,4000.568,2418,0.16
Bill Haas,296.3,2956.6845,2736,0.04
Ben Silverman,290.2,3111.4776,2700,0.071428571
Ben Martin,289.6,3608.5712,1984,0.05
Ben Crane,281.1,2775.072,2730,0.047619048
Beau Hossler,300.1,3411.276,2300,0.185185185
Austin Cook,292.5,3521.856,2781,0.107142857
Anirban Lahiri,294,3437.148,2542,0.166666667
Andrew Yun,290.6,2700.432,1377,0
Andrew Putnam,294.2,3222.944,2697,0.185185185
Andrew Landry,291.7,2902.8893,2418,0.192307692
Alex Noren,299.2,4098.4144,2268,0.176470588
Alex Cejka,286.7,3324.5,3619,0.083333333
Adam Scott,304.8,3691.6824,2812,0.15
Adam Schenk,305.5,3598.608,2236,0.035714286
Adam Hadwin,289.7,3837.1466,2640,0.125
Abraham Ancer,296.3,3775.4022,2538,0.172413793
Aaron Wise,303.4,3821.4502,1804,0.148148148
Aaron Baddeley,295.5,2901.208,3108,0.037037037
 ,308.2,3673.5615,2548,0.111111111
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
 , ,,,
