Player,EVENTS_PLAYED,NUMBER_OF_TOP_Tens,ROUNDS_PLAYED,AVG_Driving_DISTANCE,FAIRWAY_HIT,GOING_FOR_GREEN_IN_2,AGE,accuracy_measure,experience_measure
David Hearn,21,2,66,285.1,66.63,38.2,39,2545.266,2574
Rickie Fowler,18,4,66,301.1,63.81,59.07,29,3769.2567,1914
Ricky Barnes,22,1,65,290.6,47.15,50.6,39,2385.79,2535
Charl Schwartzel,20,3,65,299.5,54.86,62.5,34,3428.75,2210
Tommy Fleetwood,17,5,65,307.5,63.29,71.07,27,4498.0203,1755
Ryan Palmer,21,3,65,305.7,58.88,68.47,39,4031.5136,2535
Dominic Bozzelli,20,0,65,297,55.69,59.35,26,3305.2015,1690
Francesco Molinari,18,4,65,301.6,63.97,68.79,35,4400.4963,2275
Lucas Glover,18,1,65,297.2,64.6,58.29,38,3765.534,2470
Ben Crane,21,1,65,281.1,67.52,41.1,42,2775.072,2730
Shane Lowry,19,0,64,300.3,60.96,61.67,34,3759.4032,2176
Zac Blair,20,0,64,279.5,62.76,43.27,29,2715.6252,1856
Ben Martin,20,1,64,289.6,63.52,56.81,31,3608.5712,1984
Alex Noren,17,3,63,299.2,60.52,67.72,36,4098.4144,2268
Jon Rahm,18,5,63,310.5,59.06,74.55,23,4402.923,1449
D.A. Points,25,1,63,280.8,60.47,43.48,41,2629.2356,2583
Justin Rose,16,9,62,303.1,64.42,64.42,38,4149.9364,2356
Rod Pampling,20,0,62,288.4,63.69,56.98,48,3629.0562,2976
Michael Thompson,19,0,62,296.4,64.66,45.27,28,2927.1582,1736
Retief Goosen,20,1,60,296.2,55.22,51.68,49,2853.7696,2940
Tiger Woods,16,5,60,303.5,57.39,53.37,42,3062.9043,2520
Conrad Shindler,20,0,60,291.3,65.77,54.79,30,3603.5383,1800
Steve Wheatcroft,20,1,60,288.9,69.79,58.93,34,4112.7247,2040
Louis Oosthuizen,16,3,58,299.8,62.58,46.04,35,2881.1832,2030
Rory McIlroy,16,5,56,320.2,55.38,70.14,29,3884.3532,1624
Brooks Koepka,15,6,56,313.4,57.2,73.38,28,4197.336,1568
Matt Atkins,21,0,56,301.4,57.5,59.48,32,3420.1,1792
Greg Chalmers,20,1,56,282.8,58.9,40.99,44,2414.311,2464
Cameron Percy,16,2,56,295.6,63.66,56.52,44,3598.0632,2464
Henrik Stenson,15,5,56,291,74.33,71.54,42,5317.5682,2352
Bud Cauley,17,2,55,295.4,60.81,53.01,25,3223.5381,1375
Tyrrell Hatton,15,4,54,298.2,60.49,50.77,32,3071.0773,1728
Zecheng Dou,23,0,53,291.9,54.76,51.94,21,2844.2344,1113
Andrew Yun,22,0,51,290.6,53.58,50.4,27,2700.432,1377
Daniel Summerhays,19,1,51,287.1,54.69,50,34,2734.5,1734
Kiradech Aphibarnrat,24,2,51,294.6,63.34,66.35,34,4202.609,1734
Nate Lashley,17,0,51,293.9,60.58,52.71,35,3193.1718,1785
Satoshi Kodaira,18,1,51,293.2,64.97,48.06,34,3122.4582,1734
Kyle Thompson,22,0,50,285.3,62.99,42.42,31,2672.0358,1550
Jim Furyk,15,2,50,280.5,69.77,28.36,48,1978.6772,2400
Smylie Kaufman,22,1,49,297.1,40.85,52.08,25,2127.468,1225
Padraig Harrington,16,0,46,300.1,55.18,56.86,47,3137.5348,2162
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
 , , , , , , , ,,
